state,date,n_of_airbnb_listings,consumer_price_index,esworker_health_bill
CA,2015-06-01,4685,272.482,0
CA,2015-10-01,814,275.402,0
CA,2015-12-01,7165,279.265,0
CA,2016-02-01,8299,279.472,0
CA,2016-04-01,8012,281.228,0
CA,2016-06-01,8440,283.786,0
CA,2016-08-01,34690,286.275,0
CA,2016-10-01,8759,287.099,0
CA,2016-12-01,9066,287.887,0
CA,2017-02-01,8777,289.007,0
CA,2017-04-01,38868,290.329,0
CA,2017-06-01,8799,291.227,0
CA,2017-08-01,9057,294.114,0
CA,2017-10-01,8933,293.219,0
CA,2017-12-01,13590,293.807,0
CA,2018-02-01,4727,298.714,0
CA,2018-04-01,59939,301.409,0
CA,2018-06-01,39630,302.712,0
CA,2018-08-01,71001,310.797,0
CA,2018-10-01,73203,312.003,0
CA,2018-12-01,72851,314.197,0
CA,2019-02-01,74132,318.676,0
CA,2019-04-01,74291,324.339,0
CA,2019-06-01,76477,325.183,0
CA,2019-08-01,78121,329.247,0
CA,2019-10-01,78642,331.348,0
CA,2019-12-01,75441,329.746,0
CA,2020-02-01,74373,338.7,0
CA,2020-04-01,72185,330.932,0
CA,2020-06-01,71206,338.892,1
CA,2020-08-01,40531,341.262,1
CA,2020-10-01,57456,343.914,1
CA,2020-12-01,59871,347.655,1
CA,2021-02-01,59780,349.922,1
CA,2021-04-01,59729,350.276,1
CA,2021-06-01,46434,353.169,1
CA,2021-08-01,59434,356.519,1
CA,2021-10-01,60645,357.869,1
CA,2021-12-01,61747,360.146,1
CA,2022-02-01,62014,370.023,1
CA,2022-04-01,64417,371.272,1
CA,2022-06-01,6766,378.329,1
FL,2019-04-01,8695,291.096,0
FL,2019-06-01,9240,291.321,0
FL,2019-08-01,10010,291.352,0
FL,2019-10-01,10330,292.408,0
FL,2019-12-01,10566,292.916,0
FL,2020-02-01,11192,296.099,0
FL,2020-04-01,10801,299.572,0
FL,2020-06-01,10858,299.402,0
FL,2020-10-01,10071,299.101,0
FL,2020-12-01,10930,298.949,0
FL,2021-02-01,11130,297.674,0
FL,2021-04-01,11215,304.495,0
FL,2021-08-01,11430,311.755,0
FL,2021-10-01,12363,317.929,0
FL,2021-12-01,12531,322.647,0
FL,2022-02-01,11851,324.2,0
FL,2022-04-01,13789,328.818,0
IL,2015-10-01,5147,242.372,0
IL,2017-05-01,5207,252.623,0
IL,2018-04-01,6978,257.476,0
IL,2018-05-01,6877,260.567,0
IL,2018-07-01,7331,262.199,0
IL,2018-08-01,7561,262.199,0
IL,2018-09-01,7776,263.823,0
IL,2018-10-01,7666,263.823,0
IL,2018-11-01,7594,264.147,0
IL,2018-12-01,7626,265.049,0
IL,2019-01-01,7810,265.341,0
IL,2019-02-01,7803,265.129,0
IL,2019-03-01,7967,265.703,0
IL,2019-04-01,8096,267.41,0
IL,2019-05-01,8169,269.857,0
IL,2019-06-01,8288,269.805,0
IL,2019-07-01,8500,270.406,0
IL,2019-08-01,8652,270.406,0
IL,2019-09-01,8852,270.847,0
IL,2019-10-01,8408,271.474,0
IL,2019-11-01,8533,271.631,0
IL,2019-12-01,8776,271.631,0
IL,2020-01-01,8844,272.445,0
IL,2020-02-01,8892,272.445,0
IL,2020-03-01,8804,272.968,0
IL,2020-04-01,8520,272.968,0
IL,2020-05-01,7889,272.961,0
IL,2020-06-01,7628,268.653,0
IL,2020-08-01,6550,272.882,0
IL,2020-09-01,6397,285.383,0
IL,2020-10-01,6295,285.745,0
IL,2020-11-01,6383,285.191,0
IL,2020-12-01,6523,285.114,0
IL,2021-01-01,6338,288.005,0
IL,2021-02-01,6372,294.649,0
IL,2021-03-01,6410,290.915,0
IL,2021-04-01,6386,292.196,0
IL,2021-06-01,6335,300.483,0
IL,2021-07-01,6366,299.383,0
IL,2021-08-01,6357,303.692,0
IL,2021-09-01,6455,304.862,0
IL,2021-10-01,6528,306.969,0
IL,2021-11-01,6533,309.611,0
IL,2021-12-01,6544,310.721,0
IL,2022-01-01,6397,311.365,0
IL,2022-02-01,6372,311.497,0
IL,2022-03-01,6535,313.501,0
