state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
IA,1985,0.18,1.048,109.4
MA,1972,0.16,0.46,117.9
ID,2003,0.57,3.646,64.7
UT,2002,0.695,3.812,40.1
ME,2008,2,5.61,55.2
UT,1976,0.08,0.447,77.9
AL,2008,0.425,3.752,78
OH,1977,0.15,0.539,127.3
NV,1978,0.1,0.571,187
VT,2007,1.79,5.095,54.5
OH,1972,0.15,0.42,124.4
IN,1984,0.105,0.888,137.8
OH,1985,0.14,0.981,126.7
MT,2011,1.7,6.189,45.5
CT,1984,0.26,1.186,112.5
UT,2005,0.695,3.772,33.6
VA,1975,0.025,0.379,152.7
IA,2006,0.36,3.36,85.3
NJ,1981,0.19,0.762,127.9
WV,2012,0.55,4.752,105
ME,2012,2,6.391,48.9
IL,1976,0.12,0.494,134.4
NV,1982,0.1,0.819,165.1
FL,2011,1.339,5.519,49.7
MS,1987,0.18,1.226,110
LA,1971,0.11,0.4,119.8
OR,1990,0.27,1.601,102.5
NJ,1975,0.19,0.536,122.3
WA,1983,0.23,1.059,102.4
NM,2014,1.66,6.337,24.6
WI,1980,0.16,0.649,117.6
VT,2017,3.08,8.414,36.3
VT,1984,0.17,0.955,144.3
NV,1997,0.35,2.006,95.6
MO,2004,0.17,3.088,105
CT,2013,3.4,8.214,31.4
ID,1979,0.091,0.564,117.5
HI,2009,2,7.447,41.1
SC,1975,0.06,0.41,130.5
NM,1976,0.12,0.516,102.4
WA,1995,0.565,2.468,67.4
NV,2002,0.35,3.308,82.2
AK,1978,0.08,0.571,143.6
MO,1981,0.09,0.647,140.5
KS,1990,0.24,1.457,94.3
ID,1985,0.091,0.999,100.7
KY,1975,0.03,0.36,223
HI,2013,3.2,8.702,27
AR,2017,1.15,5.958,52.4
MD,1985,0.13,0.933,121.9
ND,1979,0.11,0.596,121.3
NH,1971,0.085,0.361,278
IA,2005,0.36,3.362,83.9
KS,1989,0.24,1.458,96.5
OK,2006,1.03,4.038,87.2
WV,1995,0.17,1.573,115.8
LA,1991,0.16,1.781,107.2
CT,2002,1.11,4.318,66.4
CO,2001,0.2,3.061,70.4
KS,1976,0.11,0.481,127.7
MI,1999,0.75,3.338,81.7
ME,2002,1,4.176,79.6
CA,2018,2.87,7.862,16.6
DE,2019,2.1,7.091,56.9
MS,1981,0.11,0.692,125.3
UT,1985,0.12,1.035,66.5
NH,2014,1.78,6.075,90.6
LA,1978,0.11,0.571,142.7
MA,2009,2.51,7.261,34.6
PA,1970,0.18,0.447,107.3
CT,2005,1.51,4.733,49.9
GA,2007,0.37,3.655,64.7
OH,1997,0.24,1.729,108.6
TX,2006,0.41,3.33,54.3
WY,1994,0.12,1.53,111.2
HI,1996,0.6,2.428,51.6
IN,2017,0.995,5.666,61.2
KY,1989,0.03,1.156,171.6
AR,2007,0.59,3.822,78.4
OH,2003,0.55,3.588,90.2
PA,2011,1.6,5.768,56.4
AZ,2011,2,6.492,27.1
AZ,2004,1.18,3.967,42.5
ID,1977,0.091,0.515,125
MD,2007,1,4.279,48.3
FL,1980,0.21,0.728,139
KY,1997,0.03,1.557,186.8
NY,1997,0.56,2.293,64.5
NM,2016,1.66,6.518,24.6
NY,2015,4.35,10.155,14.6
NJ,1989,0.27,1.493,103
GA,1975,0.12,0.479,122.9
ID,1995,0.18,1.765,78.2
KY,1982,0.03,0.664,210.6
GA,2011,0.37,4.637,54.3
MO,1973,0.09,0.38,132.1
DE,1996,0.24,1.719,128.3
KS,1970,0.08,0.389,114
AZ,1988,0.15,1.256,102.2
NJ,1995,0.4,1.943,81
WY,2008,0.6,3.876,79
SD,1981,0.14,0.68,115.7
AZ,1979,0.13,0.608,124.6
HI,1971,0.09,0.367,85
PA,2013,1.6,5.944,52.8
IN,2000,0.155,2.704,125.5
WA,1990,0.34,1.774,83.4
CA,1990,0.35,1.868,77.8
AZ,1986,0.15,1.135,107.9
VT,2005,1.19,4.478,63.9
SD,1998,0.33,2.079,88.3
AK,2006,1.6,5.819,54.5
NJ,2012,2.7,7.322,31.6
IL,2006,0.98,4.821,51.5
VT,1974,0.12,0.418,151.8
SC,1998,0.07,1.796,126.9
DE,1977,0.14,0.587,153.3
RI,2019,4.25,9.873,29.1
NM,1980,0.12,0.63,102.7
MI,1986,0.21,1.114,126.5
SD,1973,0.12,0.404,103.5
TX,1996,0.41,1.898,74.6
KY,2002,0.03,2.977,140.8
SD,2014,1.53,5.931,42.3
OK,1972,0.13,0.404,121.7
AR,2003,0.59,3.596,91.6
RI,2000,0.71,3.382,83.1
MD,2002,1,4.009,56
NM,1994,0.15,1.635,68.2
NC,1976,0.02,0.366,230.2
NY,2001,1.11,4.313,48
NH,2010,1.78,5.964,97.1
PA,2005,1.35,4.332,62.8
KY,1993,0.03,1.328,167.6
AZ,1987,0.15,1.135,106.1
SC,1987,0.07,0.999,126.6
SD,1994,0.23,1.621,94.8
VT,1992,0.17,1.738,126.5
AK,2015,2,9.018,35.8
HI,2015,3.2,8.938,26.8
NY,2009,2.75,7.613,24.8
UT,1979,0.08,0.572,79.1
MA,2000,0.76,3.843,58.3
IL,2007,0.98,4.979,48.6
SD,2009,1.53,5.437,49.7
WI,1983,0.25,1.008,106.3
TX,2019,1.41,6.482,28.8
NJ,1985,0.25,1.145,116.9
CA,1983,0.1,0.949,110.8
VA,2013,0.3,4.939,69.4
NE,1998,0.34,2.146,79.7
TX,1984,0.185,1.021,117.2
NE,2007,0.64,3.764,60.1
NM,1984,0.12,0.955,88.9
MO,1990,0.13,1.325,119.1
VT,2015,2.75,8.12,40.4
NE,1989,0.27,1.434,93.8
WY,1971,0.08,0.344,131.7
SD,2015,1.53,6.221,40.7
KS,1979,0.11,0.583,126.4
WY,1978,0.08,0.517,160.3
LA,2011,0.36,4.642,78.8
NJ,2014,2.7,7.428,29.3
SC,2011,0.57,4.844,69.9
MT,1998,0.18,1.963,89.1
KY,1971,0.03,0.306,163.5
MS,2009,0.68,4.536,89.5
IL,2016,1.98,7.488,31.5
TN,2009,0.62,4.644,77
OK,1970,0.13,0.398,108.4
IA,1973,0.13,0.432,110.6
DE,2003,0.24,3.532,184.2
MT,1986,0.16,1.062,97.8
CO,1972,0.05,0.327,134.3
AZ,1998,0.58,2.501,66
IN,1993,0.155,1.466,126.8
MA,2018,3.51,9.594,23
NM,1985,0.12,1.012,88
AL,2002,0.165,3.282,84.8
FL,1992,0.339,1.937,95.9
MS,1974,0.11,0.43,117.1
NJ,2007,2.575,6.094,34.2
CO,2018,0.84,5.873,32.1
DC,1974,0.06,0.394,182.7
NV,2010,0.8,5.02,48.1
IL,1970,0.12,0.414,124.8
DE,1993,0.24,1.525,123.8
NM,2010,0.91,5.925,30.3
DE,1973,0.14,0.442,154.7
MN,2015,3.426,7.92,30.2
NH,2003,0.52,3.57,146.2
KS,1994,0.24,1.657,89.1
OR,2016,1.32,6.002,40
MO,1974,0.09,0.435,135.4
WA,1972,0.16,0.459,88.5
AR,1983,0.21,0.936,128
SC,2006,0.07,3.094,96.4
SC,1991,0.07,1.519,121.5
PA,1997,0.31,1.909,92.9
WY,2015,0.6,5.168,58.6
CO,1993,0.2,1.532,88.6
NC,1999,0.05,2.573,113.1
NV,2004,0.8,3.83,69.9
NC,1986,0.02,0.906,154.4
CT,2009,2,7.474,45.9
KS,1988,0.24,1.365,103.2
MA,2014,3.51,8.781,27.1
TN,2000,0.13,2.815,108.7
KS,1998,0.24,2.07,87.6
NE,2017,0.64,5.498,43.4
FL,1999,0.339,2.863,88.2
AR,1997,0.315,1.873,108.7
PA,2001,0.31,3.195,86.8
MD,1979,0.1,0.581,131.9
AR,2016,1.15,5.744,54.2
MS,1994,0.18,1.539,106
UT,2001,0.515,3.358,38.7
NE,2000,0.34,3.095,77.6
NM,2001,0.21,3.203,53.7
NY,1991,0.39,1.985,86.4
CT,1989,0.4,1.712,100.6
CO,1987,0.2,1.16,102.4
DC,2009,2,6.688,33.4
DC,2002,0.65,3.811,44.4
SD,1976,0.12,0.464,116.7
VT,1991,0.17,1.68,120.9
OR,2012,1.18,5.473,44.7
UT,1998,0.265,2.437,42.3
SD,2004,0.53,3.506,69.3
GA,1982,0.12,0.789,131.2
AL,1980,0.12,0.688,123.2
WI,1987,0.25,1.286,106
IL,2015,1.98,7.396,33.4
ND,1999,0.44,2.975,74.7
FL,1995,0.339,1.798,95.4
WA,1997,0.815,2.726,55.6
VT,2003,0.93,4.352,77.9
OK,2019,2.03,7.366,42.8
MN,2017,3.59,8.661,28.3
ND,1986,0.18,1.103,99.8
IN,1995,0.155,1.478,135.4
KS,2017,1.29,6.014,34.5
PA,1988,0.18,1.228,107.6
KY,1987,0.03,0.944,171.2
DE,2014,1.6,5.818,71.2
CO,1982,0.1,0.733,130.5
RI,1971,0.13,0.416,123.2
CA,2010,0.87,5.374,26.3
PA,1986,0.18,1.1,113.9
AK,1973,0.08,0.438,125.8
NC,1975,0.02,0.358,226
PA,1983,0.18,0.977,125.3
ND,1978,0.11,0.55,121.9
MD,1976,0.1,0.492,137.1
NE,2014,0.64,5.326,47.3
ID,1994,0.18,1.635,93
DE,1970,0.11,0.413,155
NH,1986,0.17,1.02,195.9
MI,1993,0.25,1.634,106.5
DE,1999,0.24,2.762,139.5
IL,1984,0.12,0.967,124
KS,1974,0.11,0.427,118.6
GA,1993,0.12,1.478,109.2
AK,2002,1,4.591,63.7
WV,1993,0.17,1.501,111
